HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Switzerland,,,,,,,52.4,2
2,Netherlands,,,,,,,51.7,2
3,Mexico,,,,,,,51.7,2
4,Greece,,,,,,,48,2
5,Austria,,,,,,,46.9,2
6,Sweden,,,,,,,45.5,2
7,Italy,,,,,,,45.1,2
8,Belgium,,,,,,,43.9,3
9,Korea,,,,,,,42.7,2
10,Germany,,,,,,,42.5,2
11,Finland,,,,,,,42.3,3
12,Spain,,,,,,,42.3,2
13,Ireland,,,,,,,42.1,2
14,United Kingdom,,,,,,,41.4,3
15,Japan,,,,,,,39.6,2
16,France,,,,,,,39.3,2
17,Portugal,,,,,,,36,3
18,Denmark,,,,,,,34,3
19,Iceland,,,,,,,33.3,2
20,United States of America,,,,,,,33.1,2
21,Canada,,,,,,,29.9,3
22,Norway,,,,,,,28.9,3
23,New Zealand,,,,,,,28.8,3
24,Australia,,,,,,,27.9,3
25,Luxembourg,,,,,,,23.1,3
