HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,50.6,2
2,Switzerland,,,,,,,49.8,2
3,Netherlands,,,,,,,48.1,2
4,Greece,,,,,,,46.8,2
5,Austria,,,,,,,45.7,2
6,Sweden,,,,,,,44.6,2
7,Italy,,,,,,,44,2
8,Belgium,,,,,,,42.7,3
9,Spain,,,,,,,41.7,2
10,Ireland,,,,,,,41.6,2
11,Korea,,,,,,,41.2,3
12,Germany,,,,,,,40.8,2
13,United Kingdom,,,,,,,40.2,2
14,Finland,,,,,,,40.1,3
15,France,,,,,,,38.6,2
16,Portugal,,,,,,,36.8,2
17,Japan,,,,,,,36,3
18,United States of America,,,,,,,32.3,3
19,Denmark,,,,,,,32.2,2
20,Canada,,,,,,,30.4,2
21,Iceland,,,,,,,30.2,3
22,New Zealand,,,,,,,29.7,3
23,Australia,,,,,,,27.5,3
24,Norway,,,,,,,27.2,3
25,Luxembourg,,,,,,,21.8,3
