HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,57.3,2
2,Sweden,,,,,,,54.4,2
3,Switzerland,,,,,,,51,2
4,Netherlands,,,,,,,48.1,2
5,Japan,,,,,,,44.6,2
6,Germany,,,,,,,43.2,2
7,Belgium,,,,,,,42.8,2
8,United Kingdom,,,,,,,42.8,3
9,Austria,,,,,,,42.7,2
10,Italy,,,,,,,42.1,2
11,France,,,,,,,42,3
12,Norway,,,,,,,41.1,2
13,Korea,,,,,,,41.1,2
14,Ireland,,,,,,,40.4,3
15,Finland,,,,,,,39.4,2
16,Spain,,,,,,,39.1,2
17,Portugal,,,,,,,38.9,3
18,Iceland,,,,,,,38.1,3
19,Canada,,,,,,,37.4,2
20,Australia,,,,,,,37.3,2
21,Denmark,,,,,,,36.7,3
22,Greece,,,,,,,35.8,3
23,New Zealand,,,,,,,34.5,3
24,United States of America,,,,,,,30.5,3
25,Luxembourg,,,,,,,22,3
