HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Sweden,,,,,,,55.5,2
2,Switzerland,,,,,,,49.6,2
3,Mexico,,,,,,,49,2
4,Netherlands,,,,,,,47,2
5,Austria,,,,,,,43.6,2
6,Italy,,,,,,,43.5,2
7,Germany,,,,,,,43.4,2
8,Japan,,,,,,,43.1,3
9,Finland,,,,,,,43,2
10,Belgium,,,,,,,42.8,2
11,Korea,,,,,,,42.3,3
12,United Kingdom,,,,,,,42,2
13,Norway,,,,,,,41.4,2
14,France,,,,,,,41,3
15,Spain,,,,,,,39.9,2
16,Canada,,,,,,,39.5,2
17,Iceland,,,,,,,39,3
18,Portugal,,,,,,,38.5,3
19,Ireland,,,,,,,38.2,2
20,Denmark,,,,,,,36.6,2
21,Australia,,,,,,,35.7,3
22,Greece,,,,,,,33.6,3
23,New Zealand,,,,,,,33.2,3
24,United States of America,,,,,,,29.5,3
25,Luxembourg,,,,,,,23.9,3
