HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,56.4,2
2,Sweden,,,,,,,50.3,2
3,Korea,,,,,,,50.3,2
4,Canada,,,,,,,48.7,2
5,Switzerland,,,,,,,48.4,2
6,Netherlands,,,,,,,47.3,2
7,Finland,,,,,,,45.8,2
8,Austria,,,,,,,45.2,3
9,Italy,,,,,,,44.3,2
10,United Kingdom,,,,,,,43.6,2
11,Ireland,,,,,,,43.4,3
12,Spain,,,,,,,42.7,2
13,Portugal,,,,,,,41.8,2
14,Germany,,,,,,,41.5,3
15,France,,,,,,,41.1,2
16,Iceland,,,,,,,40.3,2
17,Japan,,,,,,,40.3,3
18,Belgium,,,,,,,38.9,3
19,Greece,,,,,,,38.1,2
20,New Zealand,,,,,,,36.1,2
21,Norway,,,,,,,35,3
22,Denmark,,,,,,,34,3
23,Australia,,,,,,,33,3
24,Luxembourg,,,,,,,30.3,3
25,United States of America,,,,,,,30.2,3
