HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,55.3,2
2,Netherlands,,,,,,,48.8,2
3,Portugal,,,,,,,47,2
4,Switzerland,,,,,,,46.7,2
5,Spain,,,,,,,46,2
6,Sweden,,,,,,,44.7,2
7,Japan,,,,,,,44.2,2
8,United Kingdom,,,,,,,43.1,3
9,Austria,,,,,,,43,2
10,Italy,,,,,,,42.6,2
11,Greece,,,,,,,42.3,3
12,Korea,,,,,,,41.4,2
13,Finland,,,,,,,40.6,2
14,Belgium,,,,,,,39.5,3
15,Ireland,,,,,,,38.2,2
16,France,,,,,,,37.7,2
17,Germany,,,,,,,36.8,3
18,New Zealand,,,,,,,34.1,3
19,Canada,,,,,,,34,2
20,Australia,,,,,,,31.4,2
21,United States of America,,,,,,,31.2,3
22,Denmark,,,,,,,31.1,3
23,Luxembourg,,,,,,,28.3,3
24,Iceland,,,,,,,28,3
25,Norway,,,,,,,25.7,3
