HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Switzerland,,,,,,,60.1,2
2,Netherlands,,,,,,,55.4,2
3,Austria,,,,,,,49.9,2
4,Italy,,,,,,,47.6,2
5,Greece,,,,,,,47.3,2
6,Belgium,,,,,,,47,2
7,Sweden,,,,,,,46.4,2
8,Mexico,,,,,,,45.8,3
9,Korea,,,,,,,45.1,2
10,Ireland,,,,,,,44.5,2
11,United Kingdom,,,,,,,44.3,3
12,Germany,,,,,,,43.9,2
13,Spain,,,,,,,42.8,2
14,Finland,,,,,,,42.1,3
15,France,,,,,,,41.7,2
16,Japan,,,,,,,40.5,2
17,United States of America,,,,,,,38.4,3
18,Denmark,,,,,,,38,3
19,Iceland,,,,,,,31.7,2
20,Norway,,,,,,,31.4,2
21,Portugal,,,,,,,30.9,3
22,Australia,,,,,,,28.9,3
23,Canada,,,,,,,28.5,3
24,Luxembourg,,,,,,,27.8,3
25,New Zealand,,,,,,,27,3
