HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Switzerland,,,,,,,57.3,2
2,Netherlands,,,,,,,54.6,2
3,Austria,,,,,,,48.9,2
4,Italy,,,,,,,47.4,2
5,Greece,,,,,,,46.8,2
6,Belgium,,,,,,,46.6,2
7,Mexico,,,,,,,46.2,2
8,Sweden,,,,,,,45.6,3
9,Korea,,,,,,,43.9,2
10,Germany,,,,,,,43.8,2
11,Ireland,,,,,,,43.5,3
12,United Kingdom,,,,,,,42.9,2
13,Spain,,,,,,,42.8,2
14,Finland,,,,,,,42.1,3
15,France,,,,,,,41.2,2
16,Japan,,,,,,,39.8,2
17,Denmark,,,,,,,37,3
18,United States of America,,,,,,,36.8,3
19,Portugal,,,,,,,32.6,2
20,Iceland,,,,,,,32.4,2
21,Norway,,,,,,,30.1,3
22,Canada,,,,,,,29.2,3
23,Australia,,,,,,,28.9,3
24,New Zealand,,,,,,,27.2,3
25,Luxembourg,,,,,,,26.1,3
