HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,50.3,2
2,Netherlands,,,,,,,47,2
3,Switzerland,,,,,,,46.5,2
4,Sweden,,,,,,,43.8,2
5,Portugal,,,,,,,43.1,2
6,Italy,,,,,,,42.5,2
7,Greece,,,,,,,41.9,2
8,Austria,,,,,,,41.7,3
9,Spain,,,,,,,40.7,2
10,Ireland,,,,,,,40.4,2
11,United Kingdom,,,,,,,40.1,3
12,Belgium,,,,,,,38.8,2
13,Korea,,,,,,,38.4,2
14,Finland,,,,,,,37.3,3
15,France,,,,,,,36.8,2
16,Germany,,,,,,,36.5,2
17,Japan,,,,,,,35,3
18,Canada,,,,,,,32.3,3
19,Iceland,,,,,,,32.2,2
20,New Zealand,,,,,,,30.4,2
21,Denmark,,,,,,,30.3,3
22,United States of America,,,,,,,29.6,3
23,Norway,,,,,,,25.6,3
24,Australia,,,,,,,25.5,3
25,Luxembourg,,,,,,,22.1,3
