HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Sweden,,,,,,,54.7,2
2,Switzerland,,,,,,,48.3,2
3,Finland,,,,,,,46.5,2
4,Netherlands,,,,,,,44.2,2
5,Korea,,,,,,,44.1,2
6,Germany,,,,,,,43.2,2
7,Austria,,,,,,,43.1,2
8,Italy,,,,,,,42.7,3
9,United Kingdom,,,,,,,42.2,2
10,Japan,,,,,,,41.8,2
11,Belgium,,,,,,,41.4,3
12,Mexico,,,,,,,41.4,2
13,France,,,,,,,40.5,2
14,Iceland,,,,,,,39.8,3
15,Spain,,,,,,,39.4,2
16,Canada,,,,,,,37.9,2
17,Portugal,,,,,,,37.8,3
18,Ireland,,,,,,,37.7,3
19,Norway,,,,,,,37.6,2
20,Greece,,,,,,,36.5,2
21,Denmark,,,,,,,36,3
22,Australia,,,,,,,35.3,3
23,New Zealand,,,,,,,33,3
24,United States of America,,,,,,,29.3,3
25,Luxembourg,,,,,,,23.9,3
