HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Vanuatu,3,7.4,68.6,50.5,1.1,=,68.2,2
2,Colombia,5,7.2,72.4,52.2,1.3,=,67.2,2
3,Costa Rica,5,7.5,78.2,59,2.1,=,66,2
4,Dominica,3,7.3,75.6,55.2,1.8,=,64.6,2
5,Panama,5,7.2,74.8,54,1.8,=,63.5,2
6,Cuba,3,6.3,77.3,48.9,1.4,=,61.9,2
7,Honduras,5,7.2,67.8,48.8,1.4,=,61.8,2
8,Guatemala,5,7,67.3,47,1.2,=,61.7,2
9,El Salvador,5,6.6,70.9,46.9,1.2,=,61.7,3
10,St. Vincent and the Grenadines,3,7.2,71.1,51.5,1.7,=,61.4,2
11,St. Lucia,3,7,72.4,50.5,1.6,=,61.3,2
12,Vietnam,6,6.1,70.5,43,0.8,=,61.2,3
13,Bhutan,6,7.6,62.9,47.7,1.3,=,61.1,2
14,Samoa,3,6.9,70.2,48.5,1.4,=,61,2
15,Sri Lanka,6,6.1,74,45,1.1,=,60.3,3
16,Antigua and Barbuda,3,7.4,73.9,55,2.3,=,59.2,3
17,Philippines,6,6.4,70.4,45.1,1.2,=,59.2,3
18,Nicaragua,5,6.3,69.7,44.1,1.1,=,59.1,3
19,Kyrgyzstan,7,6.6,66.8,44.1,1.1,=,59,3
20,Solomon Islands,3,6.9,62.3,43.1,1,=,58.9,2
21,Tunisia,2,6.4,73.3,46.6,1.4,=,58.9,3
22,S?o Tom? and Principe,1,6.7,63,42.4,1,=,57.9,2
23,Indonesia,6,6.6,66.8,44.1,1.2,=,57.9,3
24,Tonga,3,6.6,72.2,47.4,1.6,=,57.9,3
25,Tajikistan,7,6.1,63.6,38.8,0.6,=,57.7,3
26,Venezuela,5,7.4,72.9,54,2.4,=,57.5,3
27,Dominican Republic,3,7,67.2,46.9,1.6,=,57.1,2
28,Guyana,3,7.2,63.1,45.4,1.5,=,56.6,2
29,St. Kitts and Nevis,3,7.4,70,52.1,2.3,=,56.1,3
30,Seychelles,1,7.4,72.7,53.9,2.6,=,56.1,3
31,China,6,6.3,71.6,45.1,1.5,=,56,3
32,Thailand,6,6.5,70,45.4,1.6,=,55.4,3
33,Peru,5,5.6,70,39.5,0.9,=,55.1,3
34,Suriname,3,7.3,69.1,50.8,2.3,=,55,3
35,Yemen,2,6.2,60.6,37.8,0.7,=,55,3
36,Fiji,3,6.7,67.8,45.3,1.7,=,54.5,3
37,Morocco,2,5.6,69.7,39,0.9,=,54.4,3
38,Mexico,5,6.9,75.1,51.8,2.5,=,54.4,2
39,Maldives,6,6.6,66.6,43.8,1.6,=,53.5,3
40,Malta,4,7.5,78.4,58.8,3.5,=,53.3,2
41,Bangladesh,6,5.7,62.8,35.8,0.6,=,53.2,3
42,Comoros,1,5.9,63.2,37.5,0.8,=,52.9,3
43,Barbados,3,7.3,75,54.8,3.1,=,52.7,2
44,Malaysia,6,7.4,73.2,54.1,3,=,52.7,3
45,Palestine,2,5.4,72.5,39.2,1.1,=,52.6,5
46,Cape Verde,1,5.8,70.4,40.8,1.3,=,52.4,3
47,Argentina,5,6.8,74.5,50.3,2.6,=,52.2,3
48,Timor-Leste,6,6.6,55.5,36.6,0.8,=,52,5
49,Belize,5,6.9,71.9,49.7,2.6,=,52,3
50,Trinidad and Tobago,3,6.9,69.9,47.9,2.3,=,51.9,3
51,Chile,5,6.5,77.9,50.5,2.6,=,51.3,3
52,Paraguay,5,6.5,71,46.5,2.2,=,51.1,4
53,Jamaica,3,7,70.8,49.4,2.6,=,51,3
54,Nepal,6,5.5,61.6,33.6,0.6,=,50,5
55,Mauritius,1,6.5,72.2,46.6,2.4,=,49.6,4
56,Mongolia,6,6.7,64,42.9,1.9,=,49.6,3
57,Uruguay,5,6.3,75.4,47.7,2.6,=,49.3,3
58,Ecuador,5,5.6,74.3,41.9,1.8,=,49.3,3
59,Uzbekistan,7,6.4,66.5,42.6,1.9,=,49.2,4
60,Grenada,3,6.5,65.3,42.2,1.9,=,49,4
61,Austria,4,7.8,79,61.6,4.6,=,48.8,5
62,India,6,5.4,63.3,34.2,0.8,=,48.7,5
63,Brazil,5,6.3,70.5,44.2,2.2,=,48.6,4
64,Iceland,4,7.8,80.7,62.9,4.9,=,48.4,5
65,Switzerland,4,8.2,80.5,66,5.3,=,48.3,5
66,Italy,4,6.9,80.1,55.3,3.8,=,48.3,5
67,Iran,2,6,70.4,42.2,2.1,=,47.2,4
68,Ghana,1,6.2,56.8,35.1,1.1,=,47,5
69,Bolivia,5,5.5,64.1,35.2,1.2,=,46.2,3
70,Netherlands,4,7.5,78.4,58.8,4.7,=,46,5
71,Madagascar,1,5.8,55.4,32.3,0.8,=,46,5
72,Cyprus,4,6.9,78.6,54.2,4,=,46,5
73,Algeria,2,5.2,71.1,37,1.5,=,45.9,5
74,Luxembourg,4,7.6,78.5,59.7,4.9,=,45.6,5
75,Bahamas,3,7.7,69.7,53.7,4.1,=,44.9,5
76,Papua New Guinea,3,6.3,55.3,34.7,1.3,=,44.8,5
77,Burma,6,5.3,60.2,31.9,0.9,=,44.6,5
78,Belgium,4,7.3,78.9,57.6,4.9,=,44,5
79,Slovenia,7,6.6,76.4,50.4,3.8,=,44,5
80,Oman,2,7.3,74.1,54.1,4.4,=,43.9,5
81,Germany,4,7.2,78.7,56.7,4.8,=,43.8,5
82,Croatia,7,5.9,75,44.3,2.9,=,43.7,3
83,Lebanon,2,5.6,72,40.3,2.3,=,43.6,4
84,Taiwan,6,6.6,76.1,50.2,3.9,=,43.4,5
85,Haiti,3,5.5,51.6,28.5,0.5,=,43.3,5
86,Syria,2,5.1,73.3,37.4,1.9,=,43.2,5
87,Spain,4,7,79.5,55.7,4.8,=,43,5
88,Hong Kong,6,6.6,81.6,53.9,4.6,=,42.9,5
89,Saudi Arabia,2,7.3,71.8,52.6,4.4,=,42.7,5
90,Gambia,1,5.7,55.7,31.7,1.1,=,42.5,5
91,Cambodia,6,5.6,56.2,31.5,1.1,=,42.2,5
92,Albania,7,4.6,73.8,33.9,1.5,=,42.1,5
93,Jordan,2,5.1,71.3,36.4,1.9,=,42,5
94,New Zealand,4,7.4,79.1,58.5,5.5,=,41.9,5
95,Japan,6,6.2,82,50.8,4.3,=,41.7,5
96,Congo,1,5.7,52,29.8,0.9,=,41.6,5
97,"Egypt, Arab Rep.",2,4.8,69.8,33.5,1.5,=,41.6,5
98,Turkey,2,5.3,68.7,36.4,2,=,41.4,5
99,Denmark,4,8.2,77.2,63.3,6.4,=,41.4,5
100,Brunei Darussalam,6,7.6,76.4,58.1,5.6,=,41.2,5
101,Georgia,7,4.1,70.5,28.9,0.8,=,41.2,5
102,Korea,6,5.8,77,44.7,3.4,=,41.1,3
103,Bosnia and Herzegovina,7,5.1,74.2,37.8,2.3,=,41,5
104,Senegal,1,5.6,55.7,31.1,1.2,=,40.8,5
105,Azerbaijan,7,4.9,66.9,32.8,1.5,=,40.7,5
106,Gabon,1,6.2,54.5,33.8,1.7,=,40.5,5
107,Libya,2,5.7,73.6,42,3.1,=,40.3,4
108,United Kingdom,4,7.1,78.4,55.7,5.4,=,40.3,5
109,Laos,6,5.4,54.7,29.5,1,=,40.3,6
110,Benin,1,5.4,54,29.3,1,=,40.1,6
111,Canada,4,7.6,80,60.8,6.4,=,39.8,5
112,Pakistan,6,4.3,63,27.1,0.7,=,39.4,5
113,Ireland,4,7.6,77.7,59.1,6.2,=,39.4,5
114,Poland,7,5.9,74.3,43.8,3.6,=,39.3,4
115,Norway,4,7.4,79.4,58.8,6.2,=,39.2,5
116,Macedonia,7,4.9,73.8,36.2,2.3,=,39.1,5
117,Israel,2,6.7,79.7,53.4,5.3,=,39.1,5
118,Namibia,1,6.5,48.3,31.5,1.6,=,38.4,5
119,Sweden,4,7.7,80.2,61.8,7,=,38.2,5
120,Romania,7,5.2,71.3,37.1,2.7,=,37.7,5
121,Hungary,7,5.7,72.7,41.4,3.5,=,37.6,4
122,Guinea,1,5.1,53.7,27.4,1,=,37.4,6
123,Finland,4,7.7,78.5,60.4,7,=,37.4,5
124,Mauritania,1,5.3,52.7,27.9,1.1,=,37.3,6
125,Kazakhstan,7,5.8,63.2,36.8,2.8,=,36.9,4
126,Togo,1,4.9,54.3,26.4,0.9,=,36.9,6
127,Kenya,1,5.6,47.2,26.3,0.9,=,36.7,5
128,Czech Republic,7,6.4,75.6,48.4,5,=,36.6,5
129,France,4,6.6,79.5,52.5,5.8,=,36.4,5
130,Armenia,7,3.7,71.5,26.5,1,=,36.1,5
131,Singapore,6,6.9,78.7,54.3,6.2,=,36.1,5
132,Slovakia,7,5.4,74,40,3.6,=,35.8,5
133,Greece,4,6.3,78.3,49.3,5.4,=,35.7,5
134,Tanzania,1,5.5,46,25.2,0.9,=,35.1,6
135,Guinea-Bissau,1,5.4,44.7,24.1,0.7,=,35.1,6
136,Portugal,4,6.1,77.2,47.1,5.2,=,34.8,5
137,Eritrea,1,4.4,53.8,23.7,0.7,=,34.5,6
138,Bahrain,2,7.2,74.3,53.5,6.6,=,34.4,5
139,Australia,4,7.3,80.3,58.6,7.7,=,34.1,5
140,Mali,1,5.3,47.9,25.1,1.1,=,33.7,6
141,Mozambique,1,5.4,41.9,22.7,0.7,=,33,6
142,Cameroon,1,5.1,45.8,23.5,0.9,=,32.8,6
143,Djibouti,1,4.8,52.8,25.2,1.3,=,32.7,6
144,Ethiopia,1,4.7,47.6,22.4,0.7,=,32.5,6
145,Bulgaria,7,4.3,72.2,31,2.7,=,31.6,5
146,Nigeria,1,5.5,43.4,23.7,1.2,=,31.1,6
147,Moldova,7,3.5,67.7,23.7,1.2,=,31.1,5
148,Burkina Faso,1,4.7,47.5,22.5,1.1,=,30.1,6
149,Lithuania,7,4.7,72.3,34,3.9,=,29.3,6
150,United States,4,7.4,77.4,57.3,9.5,=,28.8,6
151,C?te d'Ivoire,1,4.5,45.9,20.7,0.9,=,28.8,6
152,Rwanda,1,4.4,43.9,19.5,0.7,=,28.3,6
153,Sierra Leone,1,5,40.8,20.3,0.9,=,28.2,6
154,United Arab Emirates,2,7.4,78,57.7,9.9,=,28.2,6
155,Angola,1,4.8,40.8,19.6,0.8,=,27.9,6
156,South Africa,1,5.7,48.4,27.7,2.8,=,27.8,5
157,Sudan,1,3.6,56.4,20.3,1,=,27.7,6
158,Uganda,1,4.7,47.3,22.3,1.5,=,27.7,6
159,Kuwait,2,7.2,76.9,55,9.5,=,27.7,6
160,Latvia,7,4.7,71.6,33.7,4.4,=,27.3,6
161,Niger,1,4.5,44.4,20,1.1,=,26.8,6
162,Malawi,1,4.6,39.7,18.3,0.7,=,26.7,6
163,Zambia,1,4.9,37.5,18.2,0.8,=,25.9,6
164,Central African Republic,1,4.9,39.3,19.3,1.1,=,25.9,6
165,Belarus,7,4,68.1,27.2,3.2,=,25.8,5
166,Qatar,2,7,72.8,50.6,9.5,=,25.5,6
167,Botswana,1,5.4,36.3,19.7,1.3,=,25.4,6
168,Chad,1,4.5,43.6,19.7,1.3,=,25.4,6
169,Turkmenistan,7,4,62.4,25,3.1,=,24,5
170,Equatorial Guinea,1,5.2,43.3,22.6,2.5,=,23.8,6
171,Lesotho,1,4.3,36.3,15.5,0.6,=,23.1,6
172,Russian Federation,7,4.3,65.3,28.1,4.4,=,22.8,6
173,Estonia,7,5.1,71.3,36.4,6.9,=,22.7,6
174,Ukraine,7,3.6,66.1,23.8,3.3,=,22.2,5
175,"Congo, Dem. Rep. of the",1,3.3,43.1,14.2,0.7,=,20.7,6
176,Burundi,1,3,43.6,13.1,0.7,=,19,6
177,Swaziland,1,4.2,32.5,13.7,1.1,=,18.4,6
178,Zimbabwe,1,3.3,36.9,12.2,1,=,16.6,6
