HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Netherlands,,,,,,,53.8,2
2,Switzerland,,,,,,,53.5,2
3,Mexico,,,,,,,49.4,2
4,Greece,,,,,,,48,2
5,Austria,,,,,,,47.4,2
6,Italy,,,,,,,45.7,2
7,Sweden,,,,,,,45.3,2
8,Belgium,,,,,,,45,3
9,Korea,,,,,,,44.9,2
10,Ireland,,,,,,,43.4,2
11,Finland,,,,,,,43.3,3
12,Germany,,,,,,,43.1,2
13,Spain,,,,,,,42.5,2
14,United Kingdom,,,,,,,42.5,3
15,Japan,,,,,,,41.5,2
16,France,,,,,,,40,2
17,Denmark,,,,,,,35.9,3
18,Iceland,,,,,,,35.1,3
19,United States of America,,,,,,,34.8,2
20,Portugal,,,,,,,34.4,2
21,Canada,,,,,,,30,3
22,Norway,,,,,,,29.2,3
23,Australia,,,,,,,28.8,3
24,New Zealand,,,,,,,28.3,3
25,Luxembourg,,,,,,,24.5,3
