HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,54.8,2
2,Sweden,,,,,,,50.7,2
3,Portugal,,,,,,,49.2,2
4,Spain,,,,,,,48.9,2
5,Netherlands,,,,,,,47.7,2
6,Switzerland,,,,,,,46.6,2
7,Austria,,,,,,,44.6,2
8,Italy,,,,,,,43.7,3
9,United Kingdom,,,,,,,43.3,2
10,Korea,,,,,,,43.2,2
11,Japan,,,,,,,43,3
12,Greece,,,,,,,42.9,2
13,Finland,,,,,,,42.5,2
14,France,,,,,,,40.6,3
15,Ireland,,,,,,,40.1,2
16,Belgium,,,,,,,39.8,2
17,Australia,,,,,,,38.7,3
18,Germany,,,,,,,37.3,3
19,New Zealand,,,,,,,35.8,2
20,Canada,,,,,,,35.4,2
21,Norway,,,,,,,32.6,3
22,Iceland,,,,,,,31.9,3
23,Denmark,,,,,,,30.4,3
24,United States of America,,,,,,,29.5,3
25,Luxembourg,,,,,,,29.1,3
