HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Sweden,,,,,,,54,2
2,Switzerland,,,,,,,48.5,2
3,Netherlands,,,,,,,47.5,2
4,Finland,,,,,,,46.8,2
5,Mexico,,,,,,,43.8,2
6,Italy,,,,,,,42.9,2
7,Austria,,,,,,,42.5,2
8,United Kingdom,,,,,,,42.4,3
9,Germany,,,,,,,41.8,2
10,Iceland,,,,,,,41.6,2
11,Japan,,,,,,,41.6,3
12,Korea,,,,,,,40.7,2
13,France,,,,,,,39.8,2
14,Spain,,,,,,,39.6,3
15,Canada,,,,,,,38.9,2
16,Ireland,,,,,,,38.5,2
17,Portugal,,,,,,,38.5,3
18,Belgium,,,,,,,38.3,3
19,Denmark,,,,,,,36.7,2
20,Greece,,,,,,,36.7,2
21,Australia,,,,,,,35.6,3
22,Norway,,,,,,,33.4,3
23,New Zealand,,,,,,,32.9,3
24,Luxembourg,,,,,,,30.2,3
25,United States of America,,,,,,,29.1,3
