HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Argentina,,,,,,,43.7,2
2,Mexico,,,,,,,52.7,2
4,Chile,,,,,,,49,2
5,Brazil,,,,,,,52.8,2
6,United States of America,,,,,,,34.2,2
7,Netherlands,,,,,,,47,2
8,Germany,,,,,,,37.2,2
9,Sweden,,,,,,,52.1,3
10,Switzerland,,,,,,,44.2,2
11,Finland,,,,,,,42,2
12,Italy,,,,,,,46.3,3
13,France,,,,,,,39.9,2
14,United Kingdom,,,,,,,41.1,2
15,Spain,,,,,,,46.4,3
20,Turkey,,,,,,,34.2,2
22,South Africa,,,,,,,28,2
25,China,,,,,,,68.8,3
26,India,,,,,,,58.1,3
27,Korea,,,,,,,50,2
28,Japan,,,,,,,38.9,2
30,Slovenia,,,,,,,31.9,3
31,Romania,,,,,,,36,3
32,Poland,,,,,,,34.1,3
33,Bulgaria,,,,,,,29.6,3
35,Russia,,,,,,,24,3
