HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,49.4,2
2,Switzerland,,,,,,,47.3,2
3,Netherlands,,,,,,,45.5,2
4,Greece,,,,,,,45.4,2
5,Austria,,,,,,,44.3,2
6,Italy,,,,,,,43,2
7,Spain,,,,,,,41.9,2
8,Sweden,,,,,,,41.7,3
9,Belgium,,,,,,,41.4,2
10,Ireland,,,,,,,40.8,2
11,United Kingdom,,,,,,,39.4,3
12,Portugal,,,,,,,38.6,2
13,Germany,,,,,,,38.5,2
14,Finland,,,,,,,38.2,3
15,France,,,,,,,38,2
16,Korea,,,,,,,38,2
17,Japan,,,,,,,34.1,3
18,United States of America,,,,,,,32,3
19,Canada,,,,,,,31.8,2
20,Denmark,,,,,,,31.5,2
21,New Zealand,,,,,,,30.1,3
22,Iceland,,,,,,,29.4,3
23,Australia,,,,,,,28.4,3
24,Norway,,,,,,,24.6,3
25,Luxembourg,,,,,,,21.7,3
