HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Korea,,,,,,,52.1,2
2,Mexico,,,,,,,50.8,2
3,Sweden,,,,,,,49.4,2
4,Switzerland,,,,,,,47.7,2
5,Netherlands,,,,,,,46,2
6,Italy,,,,,,,44.4,2
7,Finland,,,,,,,43.5,2
8,Austria,,,,,,,43.3,3
9,United Kingdom,,,,,,,43.2,2
10,Iceland,,,,,,,42.5,2
11,Spain,,,,,,,42,3
12,Canada,,,,,,,41.8,2
13,Ireland,,,,,,,41.6,2
14,Germany,,,,,,,41.4,3
15,Portugal,,,,,,,41.3,2
16,France,,,,,,,40.5,2
17,Japan,,,,,,,39.5,3
18,Belgium,,,,,,,38.3,3
19,Greece,,,,,,,37.2,2
20,New Zealand,,,,,,,35.9,2
21,Norway,,,,,,,35.3,3
22,Denmark,,,,,,,32.6,3
23,Luxembourg,,,,,,,32.5,3
24,Australia,,,,,,,32.5,3
25,United States of America,,,,,,,30.5,3
