HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Costa Rica,1a,8.5,78.5,66.7,2.3,=,76.1,4
2,Dominican Republic,1a,7.6,71.5,54.2,1.5,=,71.8,4
3,Jamaica,1a,6.7,72.2,48.5,1.1,=,70.1,3
4,Guatemala,1a,7.4,69.7,51.8,1.5,=,68.4,4
5,Vietnam,6c,6.5,73.7,47.8,1.3,=,66.5,3
6,Colombia,1b,7.3,72.3,53,1.8,=,66.1,4
7,Cuba,1a,6.7,77.7,52.4,1.8,=,65.7,4
8,El Salvador,1a,6.7,71.3,47.6,1.6,=,61.5,3
9,Brazil,1b,7.6,71.7,54.3,2.4,=,61,3
10,Honduras,1a,7,69.4,48.7,1.8,=,61,4
11,Nicaragua,1a,7.1,71.9,51,2,=,60.5,4
12,"Egypt, Arab Rep.",3a,6.7,70.7,47.2,1.7,=,60.3,3
13,Saudi Arabia,3b,7.7,72.2,55.6,2.6,=,59.7,3
14,Philippines,6c,5.5,71,38.9,0.9,=,59,1
15,Argentina,1b,7.1,74.8,53.4,2.5,=,59,3
16,Indonesia,6c,5.7,69.7,39.5,0.9,=,58.9,3
17,Bhutan,5a,6.1,64.7,39.7,1,=,58.5,3
18,Panama,1a,7.8,75.1,58.5,3.2,=,57.4,4
19,Laos,6c,6.2,63.2,39.4,1.1,=,57.3,3
20,China,6a,6.7,72.5,48.6,2.1,=,57.1,2
21,Morocco,3a,5.6,70.4,39.7,1.1,=,56.8,3
22,Sri Lanka,5a,5.4,71.6,38.6,1,=,56.5,1
23,Mexico,1a,7.7,75.6,58.3,3.4,=,55.6,4
24,Pakistan,5a,5.6,64.6,36.2,0.8,=,55.6,3
25,Ecuador,1b,6.4,74.7,48,2.2,=,55.5,2
26,Jordan,3b,6,71.9,43.1,1.7,=,54.6,3
27,Belize,1a,6.6,75.9,50.2,2.6,=,54.5,3
28,Peru,1b,5.9,70.7,41.7,1.6,=,54.4,3
29,Tunisia,3a,5.9,73.5,43.3,1.8,=,54.3,3
30,Trinidad and Tobago,1a,6.7,69.2,46.3,2.1,=,54.2,2
31,Bangladesh,5a,5.3,63.1,33.1,0.6,=,54.1,1
32,Moldova,7b,5.7,68.4,38.7,1.2,=,54.1,3
33,Malaysia,6c,6.6,73.7,48.6,2.4,=,54,2
34,Tajikistan,7a,5.1,66.3,33.8,0.7,=,53.5,1
35,India,5a,5.5,63.7,35.1,0.9,=,53,3
36,Venezuela,1b,6.9,73.2,50.4,2.8,=,52.5,2
37,Nepal,5a,5.3,62.6,33.3,0.8,=,51.9,1
38,Syria,3b,5.9,73.6,43.4,2.1,=,51.3,3
39,Burma,5a,5.9,60.8,35.6,1.1,=,51.2,3
40,Algeria,3a,5.6,71.7,40.1,1.7,=,51.2,3
41,Thailand,6c,6.3,69.6,43.5,2.1,=,50.9,2
42,Haiti,1a,5.2,59.5,30.8,0.5,=,50.8,0
43,Netherlands,2c,7.7,79.2,61.1,4.4,=,50.6,1
