HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,52.1,2
2,Switzerland,,,,,,,47.8,2
3,Netherlands,,,,,,,45.2,2
4,Portugal,,,,,,,44.3,2
5,Sweden,,,,,,,44,2
6,Spain,,,,,,,43.2,2
7,Greece,,,,,,,42.7,2
8,Italy,,,,,,,42.1,3
9,Austria,,,,,,,41.9,2
10,Korea,,,,,,,41.1,2
11,United Kingdom,,,,,,,41,3
12,Finland,,,,,,,40.8,2
13,Belgium,,,,,,,39.3,2
14,Ireland,,,,,,,38,3
15,Japan,,,,,,,37.4,2
16,Germany,,,,,,,37,2
17,France,,,,,,,36.8,3
18,New Zealand,,,,,,,32.4,3
19,Canada,,,,,,,31.4,2
20,Iceland,,,,,,,30.7,2
21,United States of America,,,,,,,30.6,3
22,Denmark,,,,,,,29.8,3
23,Australia,,,,,,,27.8,3
24,Norway,,,,,,,27,3
25,Luxembourg,,,,,,,24.5,3
