HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,48.9,2
2,Switzerland,,,,,,,46.5,2
3,Netherlands,,,,,,,45.1,2
4,Greece,,,,,,,44.5,2
5,Austria,,,,,,,43,2
6,Italy,,,,,,,42.5,2
7,Sweden,,,,,,,41.2,2
8,Spain,,,,,,,40.9,3
9,Portugal,,,,,,,40.6,2
10,Belgium,,,,,,,40.4,2
11,Ireland,,,,,,,39.7,3
12,United Kingdom,,,,,,,39.3,2
13,Korea,,,,,,,37.7,2
14,Finland,,,,,,,37.4,3
15,Germany,,,,,,,37.2,2
16,France,,,,,,,36.8,2
17,Japan,,,,,,,34.8,3
18,Canada,,,,,,,32.9,3
19,Iceland,,,,,,,31.2,2
20,Denmark,,,,,,,31,2
21,New Zealand,,,,,,,30.8,3
22,United States of America,,,,,,,30.7,3
23,Australia,,,,,,,29.2,3
24,Norway,,,,,,,23.6,3
25,Luxembourg,,,,,,,22,3
