HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,50.5,2
2,Switzerland,,,,,,,48.7,2
3,Netherlands,,,,,,,47.3,2
4,Italy,,,,,,,43,2
5,Austria,,,,,,,42.6,2
6,Portugal,,,,,,,42.4,2
7,Greece,,,,,,,42,2
8,Spain,,,,,,,40.8,3
9,Sweden,,,,,,,40.7,2
10,United Kingdom,,,,,,,40.7,2
11,Ireland,,,,,,,40.1,3
12,Belgium,,,,,,,40,2
13,Japan,,,,,,,39,2
14,Korea,,,,,,,38.4,3
15,France,,,,,,,37.7,2
16,Germany,,,,,,,37,2
17,Finland,,,,,,,36.5,3
18,Iceland,,,,,,,31.9,3
19,Canada,,,,,,,31.5,2
20,Denmark,,,,,,,30.8,2
21,New Zealand,,,,,,,30.7,3
22,United States of America,,,,,,,30.2,3
23,Australia,,,,,,,25.8,3
24,Norway,,,,,,,24.8,3
25,Luxembourg,,,,,,,24.1,3
