HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,61.3,2
2,Sweden,,,,,,,54.4,2
3,Switzerland,,,,,,,50.8,2
4,Netherlands,,,,,,,49.4,2
5,Germany,,,,,,,44.5,2
6,Japan,,,,,,,44.3,2
7,Belgium,,,,,,,43.4,2
8,Austria,,,,,,,43.3,3
9,United Kingdom,,,,,,,42.9,2
10,France,,,,,,,42.7,2
11,Italy,,,,,,,42.5,3
12,Korea,,,,,,,41.6,2
13,Finland,,,,,,,41.4,2
14,Iceland,,,,,,,40.8,3
15,Ireland,,,,,,,40.1,2
16,Portugal,,,,,,,39.8,2
17,Spain,,,,,,,39.6,3
18,Norway,,,,,,,39.5,3
19,Australia,,,,,,,37.2,2
20,Denmark,,,,,,,36.9,2
21,Canada,,,,,,,36.5,3
22,New Zealand,,,,,,,35.8,3
23,Greece,,,,,,,35.4,3
24,United States of America,,,,,,,29.5,3
25,Luxembourg,,,,,,,23,3
