HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,54.1,2
2,Sweden,,,,,,,52.6,2
3,Canada,,,,,,,51.7,2
4,Korea,,,,,,,50.3,2
5,Switzerland,,,,,,,48.1,2
6,Finland,,,,,,,47.4,2
7,Netherlands,,,,,,,47,2
8,Austria,,,,,,,45.1,3
9,Italy,,,,,,,43.1,2
10,Spain,,,,,,,43.1,2
11,Ireland,,,,,,,42.9,3
12,Portugal,,,,,,,42.5,2
13,United Kingdom,,,,,,,42.2,2
14,Germany,,,,,,,41.2,3
15,France,,,,,,,40.3,2
16,Japan,,,,,,,40.2,2
17,Belgium,,,,,,,39.8,3
18,Greece,,,,,,,38.5,3
19,Norway,,,,,,,37.8,2
20,Iceland,,,,,,,35.9,2
21,New Zealand,,,,,,,35.4,3
22,Denmark,,,,,,,34.9,3
23,Australia,,,,,,,34.7,3
24,United States of America,,,,,,,31.1,3
25,Luxembourg,,,,,,,28.6,3
