HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Argentina,,,,,,,59,2
2,Mexico,,,,,,,55.6,2
3,Peru,,,,,,,54.4,2
4,Chile,,,,,,,49.7,2
5,Brazil,,,,,,,61,2
6,United States of America,,,,,,,30.7,2
7,Netherlands,,,,,,,50.6,2
8,Germany,,,,,,,48.1,2
9,Sweden,,,,,,,48,3
10,Switzerland,,,,,,,48.1,2
11,Finland,,,,,,,47.2,2
12,Italy,,,,,,,44,3
13,France,,,,,,,43.9,2
14,United Kingdom,,,,,,,43.3,2
15,Spain,,,,,,,43.2,3
16,"Egypt, Arab Rep.",,,,,,,60.3,3
17,Morocco,,,,,,,56.8,3
18,Jordan,,,,,,,54.6,3
19,Iran,,,,,,,42.1,3
20,Turkey,,,,,,,41.7,2
21,Iraq,,,,,,,42.6,3
22,South Africa,,,,,,,29.7,2
23,Vietnam,,,,,,,66.5,3
24,Indonesia,,,,,,,58.9,3
25,China,,,,,,,57.1,3
26,India,,,,,,,53,3
27,Korea,,,,,,,44.4,2
28,Japan,,,,,,,43.3,2
29,Moldova,,,,,,,54.1,3
30,Slovenia,,,,,,,44.5,3
31,Romania,,,,,,,43.9,3
32,Poland,,,,,,,42.8,3
33,Bulgaria,,,,,,,42,3
34,Ukraine,,,,,,,38.1,3
35,Russian Federation,,,,,,,34.5,3
36,Serbia,,,,,,,47.6,3
