HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Netherlands,,,,,,,54.3,2
2,Switzerland,,,,,,,54.3,2
3,Austria,,,,,,,48.3,2
4,Greece,,,,,,,47.4,2
5,Mexico,,,,,,,47.4,2
6,Belgium,,,,,,,46.2,2
7,Italy,,,,,,,46.2,2
8,Sweden,,,,,,,45.8,3
9,Korea,,,,,,,45.6,2
10,Ireland,,,,,,,43.7,2
11,Germany,,,,,,,43.5,3
12,Finland,,,,,,,43.1,2
13,Spain,,,,,,,42.6,2
14,United Kingdom,,,,,,,42.6,3
15,France,,,,,,,40.9,2
16,Japan,,,,,,,40.9,2
17,Denmark,,,,,,,36.8,3
18,United States of America,,,,,,,36.3,3
19,Iceland,,,,,,,34.2,2
20,Portugal,,,,,,,33.3,2
21,Canada,,,,,,,29.7,3
22,Norway,,,,,,,29.5,3
23,Australia,,,,,,,28.7,3
24,New Zealand,,,,,,,27.8,3
25,Luxembourg,,,,,,,25.3,3
