HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,53.7,2
2,Portugal,,,,,,,46.4,2
3,Sweden,,,,,,,46.3,2
4,Netherlands,,,,,,,45.5,2
5,Switzerland,,,,,,,45.5,2
6,Spain,,,,,,,43.8,2
7,Korea,,,,,,,42.5,2
8,Austria,,,,,,,42.2,3
9,Greece,,,,,,,42.2,2
10,United Kingdom,,,,,,,40.5,2
11,Italy,,,,,,,40.4,3
12,Finland,,,,,,,38.8,2
13,Belgium,,,,,,,38.7,2
14,Japan,,,,,,,37.5,3
15,Ireland,,,,,,,37.2,2
16,Germany,,,,,,,36.3,2
17,France,,,,,,,35.4,3
18,New Zealand,,,,,,,34.2,3
19,Canada,,,,,,,32,2
20,Denmark,,,,,,,29.5,2
21,United States of America,,,,,,,29.2,3
22,Australia,,,,,,,28.3,3
23,Iceland,,,,,,,28,3
24,Norway,,,,,,,27.2,3
25,Luxembourg,,,,,,,24.6,3
