HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,58,2
2,Netherlands,,,,,,,50.4,2
3,Portugal,,,,,,,47.8,2
4,Switzerland,,,,,,,47.6,2
5,Spain,,,,,,,47.2,2
6,Sweden,,,,,,,46.4,2
7,Japan,,,,,,,44.8,2
8,Italy,,,,,,,43.8,3
9,Austria,,,,,,,43.7,2
10,United Kingdom,,,,,,,43.4,2
11,Greece,,,,,,,43.2,3
12,Finland,,,,,,,40.8,2
13,Korea,,,,,,,40.2,2
14,Belgium,,,,,,,39.5,3
15,France,,,,,,,39.5,2
16,Ireland,,,,,,,38.8,2
17,Germany,,,,,,,37.5,3
18,Canada,,,,,,,34.3,3
19,New Zealand,,,,,,,34,2
20,Australia,,,,,,,33.9,2
21,United States of America,,,,,,,32,3
22,Denmark,,,,,,,31.3,3
23,Iceland,,,,,,,30.2,3
24,Luxembourg,,,,,,,29.6,3
25,Norway,,,,,,,26.4,3
