HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,54.2,2
2,Korea,,,,,,,49.9,2
3,Sweden,,,,,,,49.7,2
4,Portugal,,,,,,,48.5,2
5,Spain,,,,,,,48,2
6,Netherlands,,,,,,,46.3,2
7,Switzerland,,,,,,,46.2,2
8,Austria,,,,,,,45.2,3
9,Italy,,,,,,,43.1,2
10,Finland,,,,,,,42.9,2
11,Japan,,,,,,,42.9,3
12,United Kingdom,,,,,,,42.6,2
13,Greece,,,,,,,42.1,2
14,France,,,,,,,40.1,3
15,Belgium,,,,,,,39.6,2
16,Ireland,,,,,,,39.6,2
17,Australia,,,,,,,39.6,3
18,Germany,,,,,,,37.7,3
19,New Zealand,,,,,,,36.9,2
20,Canada,,,,,,,35.1,2
21,Norway,,,,,,,32.1,3
22,Denmark,,,,,,,30.4,3
23,Iceland,,,,,,,30.3,3
24,Luxembourg,,,,,,,29.4,3
25,United States of America,,,,,,,29.2,3
