HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Argentina,,,,,,,48.3,2
2,Mexico,,,,,,,49.3,2
3,Peru,,,,,,,47.3,2
4,Chile,,,,,,,49.8,2
6,United States of America,,,,,,,33,2
7,Netherlands,,,,,,,46.1,2
8,Germany,,,,,,,46.5,2
9,Sweden,,,,,,,56.5,3
11,Finland,,,,,,,47.3,2
12,Italy,,,,,,,46.1,3
13,France,,,,,,,42,2
14,United Kingdom,,,,,,,41.8,2
15,Spain,,,,,,,40.9,3
16,Egypt,,,,,,,55.1,3
17,Morocco,,,,,,,66.9,3
18,Jordan,,,,,,,37.6,3
19,Iran,,,,,,,44.2,3
20,Turkey,,,,,,,30.9,2
21,Iraq,,,,,,,53.9,3
22,South Africa,,,,,,,23.1,2
23,Vietnam,,,,,,,63.7,3
24,Indonesia,,,,,,,57.1,3
25,China,,,,,,,59.1,3
26,India,,,,,,,44.7,3
27,Korea,,,,,,,44.9,2
28,Japan,,,,,,,40.5,2
29,Moldova,,,,,,,45.8,3
30,Slovenia,,,,,,,46.6,3
31,Romania,,,,,,,42.9,3
32,Poland,,,,,,,37.1,3
33,Bulgaria,,,,,,,43,3
34,Ukraine,,,,,,,32.2,3
35,Russia,,,,,,,25.4,3
36,Serbia,,,,,,,43.9,3
