HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Switzerland,,,,,,,58,2
2,Netherlands,,,,,,,57,2
3,Austria,,,,,,,50.2,2
4,Greece,,,,,,,48.7,2
5,Italy,,,,,,,48.4,2
6,Belgium,,,,,,,48.2,2
7,Sweden,,,,,,,47.5,2
8,Ireland,,,,,,,45.9,3
9,United Kingdom,,,,,,,45.6,2
10,Korea,,,,,,,45.2,2
11,Mexico,,,,,,,44.5,3
12,Germany,,,,,,,43.9,2
13,Finland,,,,,,,42.2,2
14,Spain,,,,,,,41.8,3
15,France,,,,,,,41.7,2
16,Japan,,,,,,,40.7,2
17,Denmark,,,,,,,39.6,3
18,United States of America,,,,,,,39.4,3
19,Iceland,,,,,,,32.6,2
20,Norway,,,,,,,32,2
21,Luxembourg,,,,,,,29.9,3
22,Portugal,,,,,,,29.5,3
23,Australia,,,,,,,28.8,3
24,New Zealand,,,,,,,26.8,3
25,Canada,,,,,,,26.7,3
