HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,54.8,2
2,Sweden,,,,,,,52.2,2
3,Canada,,,,,,,52,2
4,Korea,,,,,,,49.3,2
5,Switzerland,,,,,,,49,2
6,Netherlands,,,,,,,47.9,2
7,Finland,,,,,,,47.4,2
8,Austria,,,,,,,46.1,3
9,Italy,,,,,,,44.1,2
10,Ireland,,,,,,,43.8,2
11,United Kingdom,,,,,,,43.1,3
12,Spain,,,,,,,42.9,2
13,Portugal,,,,,,,42.3,2
14,Germany,,,,,,,41.7,3
15,France,,,,,,,41.3,2
16,Japan,,,,,,,40.6,2
17,Belgium,,,,,,,39.6,3
18,Greece,,,,,,,38.6,3
19,Iceland,,,,,,,37.3,2
20,Norway,,,,,,,36,2
21,New Zealand,,,,,,,35.6,3
22,Denmark,,,,,,,35.1,3
23,Australia,,,,,,,34.1,3
24,United States of America,,,,,,,30.5,3
25,Luxembourg,,,,,,,28.8,3
