HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Korea,,,,,,,55.2,2
2,Mexico,,,,,,,54.3,2
3,Sweden,,,,,,,49.1,2
4,Portugal,,,,,,,48.2,2
5,Spain,,,,,,,46.8,2
6,Netherlands,,,,,,,46,2
7,Austria,,,,,,,45.5,2
8,Switzerland,,,,,,,45.5,3
9,Finland,,,,,,,42.8,2
10,Italy,,,,,,,42.7,2
11,Japan,,,,,,,42,3
12,United Kingdom,,,,,,,41.9,2
13,Greece,,,,,,,40.8,2
14,France,,,,,,,39.6,3
15,Belgium,,,,,,,39.5,2
16,Ireland,,,,,,,39,2
17,Australia,,,,,,,38.7,3
18,Germany,,,,,,,38.1,3
19,New Zealand,,,,,,,37.2,2
20,Canada,,,,,,,36.4,2
21,Denmark,,,,,,,30.9,3
22,Iceland,,,,,,,29.5,3
23,Luxembourg,,,,,,,29.5,3
24,United States of America,,,,,,,29.3,3
25,Norway,,,,,,,28.6,3
