HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,50.4,2
2,Sweden,,,,,,,46.7,2
3,Netherlands,,,,,,,46.1,2
4,Switzerland,,,,,,,44.9,2
5,Portugal,,,,,,,43.2,2
6,Italy,,,,,,,42.4,2
7,Greece,,,,,,,42.2,2
8,Austria,,,,,,,41.6,3
9,Spain,,,,,,,40.7,2
10,Ireland,,,,,,,40.4,2
11,United Kingdom,,,,,,,39.8,3
12,Finland,,,,,,,38.7,2
13,Belgium,,,,,,,38.6,2
14,Korea,,,,,,,38.4,3
15,Germany,,,,,,,36.4,2
16,France,,,,,,,36.2,2
17,Iceland,,,,,,,33,3
18,Canada,,,,,,,32.9,3
19,Japan,,,,,,,31.5,2
20,New Zealand,,,,,,,30.3,2
21,United States of America,,,,,,,29.8,3
22,Denmark,,,,,,,29.6,3
23,Australia,,,,,,,26.8,3
24,Norway,,,,,,,25.4,3
25,Luxembourg,,,,,,,21.2,3
