HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Netherlands,,,,,,,59.4,2
2,Switzerland,,,,,,,57,2
3,Austria,,,,,,,50.9,2
4,Belgium,,,,,,,49.4,2
5,Greece,,,,,,,49.4,2
6,Italy,,,,,,,48.8,2
7,United Kingdom,,,,,,,47.4,2
8,Sweden,,,,,,,46.6,3
9,Ireland,,,,,,,46.3,2
10,Korea,,,,,,,44.7,2
11,Germany,,,,,,,44.6,3
12,Mexico,,,,,,,43.8,2
13,France,,,,,,,42.6,2
14,Spain,,,,,,,41.9,3
15,Finland,,,,,,,41.4,2
16,Denmark,,,,,,,40.6,2
17,United States of America,,,,,,,40.4,3
18,Japan,,,,,,,39.9,3
19,Iceland,,,,,,,32.8,2
20,Norway,,,,,,,31.8,2
21,Luxembourg,,,,,,,31.2,3
22,Australia,,,,,,,29.6,3
23,Portugal,,,,,,,28.7,3
24,Canada,,,,,,,26.9,3
25,New Zealand,,,,,,,26.4,3
