HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Sweden,,,,,,,53.4,2
2,Korea,,,,,,,51.9,2
3,Netherlands,,,,,,,51,2
4,Switzerland,,,,,,,48.6,2
5,Finland,,,,,,,46.2,2
6,Mexico,,,,,,,44.3,2
7,Italy,,,,,,,43.8,2
8,United Kingdom,,,,,,,42.9,3
9,Iceland,,,,,,,42.4,2
10,Austria,,,,,,,41.6,2
11,Germany,,,,,,,40.8,3
12,Spain,,,,,,,40.8,2
13,Japan,,,,,,,40.3,2
14,France,,,,,,,40.2,3
15,Portugal,,,,,,,39.9,2
16,Ireland,,,,,,,39.5,2
17,Canada,,,,,,,39,3
18,Greece,,,,,,,37.1,3
19,Belgium,,,,,,,36.7,2
20,Australia,,,,,,,35.8,2
21,Denmark,,,,,,,35.1,3
22,Luxembourg,,,,,,,34.4,3
23,New Zealand,,,,,,,34,3
24,Norway,,,,,,,32.9,3
25,United States of America,,,,,,,29.3,3
