HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,52.9,2
2,Sweden,,,,,,,48.3,2
3,Netherlands,,,,,,,47,2
4,Korea,,,,,,,46.6,2
5,Austria,,,,,,,45.3,2
6,Portugal,,,,,,,44.9,2
7,Spain,,,,,,,44.9,2
8,Switzerland,,,,,,,44.2,3
9,Italy,,,,,,,43,2
10,United Kingdom,,,,,,,41,2
11,Greece,,,,,,,40.7,3
12,France,,,,,,,39.8,2
13,Belgium,,,,,,,39.6,2
14,Japan,,,,,,,39.3,3
15,Germany,,,,,,,38.8,2
16,Ireland,,,,,,,38.8,2
17,Finland,,,,,,,38.2,3
18,New Zealand,,,,,,,36.8,3
19,Australia,,,,,,,34.3,2
20,Denmark,,,,,,,31.7,2
21,Iceland,,,,,,,31.7,3
22,Canada,,,,,,,30,3
23,United States of America,,,,,,,29.9,3
24,Luxembourg,,,,,,,27.9,3
25,Norway,,,,,,,25,3
