HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Sweden,,,,,,,54.2,2
2,Switzerland,,,,,,,50.6,2
3,Mexico,,,,,,,50.6,2
4,Netherlands,,,,,,,47.8,2
5,Japan,,,,,,,44.1,2
6,Austria,,,,,,,43.3,2
7,Italy,,,,,,,43.3,2
8,Korea,,,,,,,43.1,3
9,Germany,,,,,,,43,2
10,Belgium,,,,,,,42.3,2
11,United Kingdom,,,,,,,42.1,3
12,Norway,,,,,,,41.8,2
13,France,,,,,,,41.3,2
14,Finland,,,,,,,40.4,3
15,Spain,,,,,,,39.3,2
16,Ireland,,,,,,,39.2,2
17,Canada,,,,,,,39.2,3
18,Portugal,,,,,,,38.5,3
19,Iceland,,,,,,,37.9,2
20,Australia,,,,,,,37.2,2
21,Denmark,,,,,,,36.7,3
22,Greece,,,,,,,34.9,3
23,New Zealand,,,,,,,33.2,3
24,United States of America,,,,,,,30.3,3
25,Luxembourg,,,,,,,23.1,3
