HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,53.2,2
2,Sweden,,,,,,,47.2,2
3,Switzerland,,,,,,,46.3,2
4,Netherlands,,,,,,,45.1,2
5,Portugal,,,,,,,45.1,2
6,Spain,,,,,,,43.9,2
7,Greece,,,,,,,42.7,2
8,Austria,,,,,,,42.3,3
9,Korea,,,,,,,41.5,2
10,Italy,,,,,,,41.4,2
11,Finland,,,,,,,41,3
12,United Kingdom,,,,,,,40.8,2
13,Belgium,,,,,,,38.8,2
14,Ireland,,,,,,,38.1,3
15,Japan,,,,,,,37.3,2
16,Germany,,,,,,,36.6,2
17,France,,,,,,,36.1,3
18,New Zealand,,,,,,,33.7,3
19,Canada,,,,,,,31.8,2
20,Denmark,,,,,,,29.8,2
21,Iceland,,,,,,,29.4,3
22,United States of America,,,,,,,28.9,3
23,Norway,,,,,,,27.7,3
24,Australia,,,,,,,27.6,3
25,Luxembourg,,,,,,,24.1,3
