HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Netherlands,,,,,,,61.5,2
2,Switzerland,,,,,,,58.9,2
3,Austria,,,,,,,51.5,2
4,Belgium,,,,,,,49.7,2
5,Greece,,,,,,,49.5,2
6,Italy,,,,,,,48.7,2
7,United Kingdom,,,,,,,48.2,2
8,Ireland,,,,,,,46.1,3
9,Sweden,,,,,,,45.3,2
10,Germany,,,,,,,44.5,2
11,France,,,,,,,43.8,3
12,Mexico,,,,,,,43.4,2
13,Korea,,,,,,,42.5,2
14,Spain,,,,,,,42.4,3
15,Denmark,,,,,,,41.5,2
16,United States of America,,,,,,,41.2,2
17,Finland,,,,,,,40.5,3
18,Japan,,,,,,,39.8,3
19,Luxembourg,,,,,,,31.7,2
20,Iceland,,,,,,,31.6,2
21,Norway,,,,,,,31,3
22,Australia,,,,,,,30.1,3
23,Portugal,,,,,,,28.4,3
24,Canada,,,,,,,27.8,3
25,New Zealand,,,,,,,25.9,3
