HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,52.6,2
2,Sweden,,,,,,,51.6,2
3,Korea,,,,,,,51,2
4,Netherlands,,,,,,,46.6,2
5,Switzerland,,,,,,,46,2
6,Finland,,,,,,,45.4,2
7,Austria,,,,,,,43.6,2
8,Canada,,,,,,,43.6,3
9,Spain,,,,,,,43.3,2
10,Portugal,,,,,,,42.7,2
11,Italy,,,,,,,42.4,3
12,United Kingdom,,,,,,,41.3,2
13,Ireland,,,,,,,40.1,2
14,Germany,,,,,,,39.9,3
15,Belgium,,,,,,,39.6,2
16,France,,,,,,,39.5,2
17,Japan,,,,,,,39,3
18,Greece,,,,,,,38.7,3
19,Norway,,,,,,,36.6,2
20,New Zealand,,,,,,,36.4,2
21,Australia,,,,,,,35.4,3
22,Iceland,,,,,,,35.3,3
23,Denmark,,,,,,,33.4,3
24,United States of America,,,,,,,30.7,3
25,Luxembourg,,,,,,,28,3
