HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Korea,,,,,,,52,2
2,Sweden,,,,,,,51.4,2
3,Netherlands,,,,,,,48.4,2
4,Switzerland,,,,,,,47.9,2
5,Mexico,,,,,,,47.9,2
6,Italy,,,,,,,44.6,2
7,Finland,,,,,,,43.6,2
8,Iceland,,,,,,,43,3
9,United Kingdom,,,,,,,42.9,2
10,Spain,,,,,,,42,2
11,Austria,,,,,,,41.7,3
12,Germany,,,,,,,40.7,2
13,Portugal,,,,,,,40.7,2
14,France,,,,,,,40.5,3
15,Ireland,,,,,,,40.1,2
16,Japan,,,,,,,39.3,2
17,Canada,,,,,,,38.7,3
18,Belgium,,,,,,,37.4,3
19,Greece,,,,,,,37.3,2
20,New Zealand,,,,,,,35.6,2
21,Australia,,,,,,,34.3,3
22,Norway,,,,,,,33.8,3
23,Luxembourg,,,,,,,33.6,3
24,Denmark,,,,,,,32.8,3
25,United States of America,,,,,,,30.1,3
