HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,52.6,2
2,Portugal,,,,,,,47.1,2
3,Netherlands,,,,,,,46.5,2
4,Switzerland,,,,,,,45.7,2
5,Spain,,,,,,,44.4,2
6,Sweden,,,,,,,44.4,2
7,Austria,,,,,,,41.9,2
8,Greece,,,,,,,41.8,3
9,Korea,,,,,,,41.8,2
10,United Kingdom,,,,,,,41.7,2
11,Italy,,,,,,,40.7,3
12,Belgium,,,,,,,39.2,2
13,Japan,,,,,,,38.6,2
14,Finland,,,,,,,38.4,3
15,Ireland,,,,,,,37.4,2
16,Germany,,,,,,,36.4,2
17,France,,,,,,,35.7,3
18,New Zealand,,,,,,,34.1,3
19,Canada,,,,,,,32.7,2
20,Denmark,,,,,,,30.4,2
21,Australia,,,,,,,29.9,3
22,United States of America,,,,,,,29.9,3
23,Iceland,,,,,,,26.8,3
24,Norway,,,,,,,26.4,3
25,Luxembourg,,,,,,,26.3,3
