HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,55.5,2
2,Netherlands,,,,,,,51,2
3,Sweden,,,,,,,49.3,2
4,Portugal,,,,,,,49,2
5,Spain,,,,,,,47.3,2
6,Switzerland,,,,,,,47.3,2
7,Greece,,,,,,,44.4,2
8,Austria,,,,,,,43.9,3
9,Japan,,,,,,,43.9,2
10,Italy,,,,,,,43.5,2
11,United Kingdom,,,,,,,43.5,3
12,Korea,,,,,,,41.7,2
13,Finland,,,,,,,41.6,2
14,France,,,,,,,40.2,3
15,Belgium,,,,,,,39.8,2
16,Ireland,,,,,,,39.3,2
17,Germany,,,,,,,37.6,3
18,Canada,,,,,,,35.6,3
19,Australia,,,,,,,34.8,2
20,New Zealand,,,,,,,34.4,2
21,Iceland,,,,,,,33.3,3
22,United States of America,,,,,,,31.8,3
23,Denmark,,,,,,,31.4,3
24,Luxembourg,,,,,,,30.1,3
25,Norway,,,,,,,27.8,3
