HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,52.1,2
2,Switzerland,,,,,,,49.2,2
3,Netherlands,,,,,,,46,2
4,Portugal,,,,,,,43.4,2
5,Italy,,,,,,,42.5,2
6,Austria,,,,,,,42.3,2
7,Greece,,,,,,,42.3,2
8,Spain,,,,,,,41.8,3
9,Sweden,,,,,,,40.8,2
10,United Kingdom,,,,,,,40.7,2
11,Korea,,,,,,,40.3,3
12,Belgium,,,,,,,39.9,2
13,Finland,,,,,,,38.2,2
14,Ireland,,,,,,,38.1,3
15,France,,,,,,,37.4,2
16,Japan,,,,,,,37.4,2
17,Germany,,,,,,,37.2,3
18,Iceland,,,,,,,32.2,3
19,New Zealand,,,,,,,31.6,2
20,Canada,,,,,,,31.1,2
21,United States of America,,,,,,,30.5,3
22,Denmark,,,,,,,29.6,3
23,Australia,,,,,,,26.9,3
24,Norway,,,,,,,25.1,3
25,Luxembourg,,,,,,,24.8,3
