HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,54,2
2,Sweden,,,,,,,50.8,2
3,Netherlands,,,,,,,49.9,2
4,Portugal,,,,,,,48.4,2
5,Spain,,,,,,,48.1,2
6,Switzerland,,,,,,,46.8,2
7,Austria,,,,,,,44.5,2
8,Greece,,,,,,,44.2,3
9,Italy,,,,,,,43.8,2
10,United Kingdom,,,,,,,43.8,2
11,Japan,,,,,,,43,3
12,Finland,,,,,,,42.8,2
13,Korea,,,,,,,42.1,2
14,France,,,,,,,40.7,3
15,Belgium,,,,,,,40,2
16,Ireland,,,,,,,39.9,2
17,Germany,,,,,,,37.3,3
18,Australia,,,,,,,36.3,3
19,Canada,,,,,,,35.8,2
20,New Zealand,,,,,,,35.3,2
21,Iceland,,,,,,,33.2,3
22,Denmark,,,,,,,31,3
23,United States of America,,,,,,,30.4,3
24,Norway,,,,,,,30.2,3
25,Luxembourg,,,,,,,29.5,3
