HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,53.4,2
2,Korea,,,,,,,53.2,2
3,Sweden,,,,,,,48.5,2
4,Portugal,,,,,,,46.9,2
5,Netherlands,,,,,,,46.3,2
6,Spain,,,,,,,45.8,2
7,Austria,,,,,,,45.6,2
8,Switzerland,,,,,,,44.6,3
9,Italy,,,,,,,42.8,2
10,United Kingdom,,,,,,,41.2,2
11,Finland,,,,,,,40.2,3
12,Japan,,,,,,,40.1,2
13,Greece,,,,,,,39.8,2
14,France,,,,,,,39.6,3
15,Belgium,,,,,,,39.4,2
16,Ireland,,,,,,,39.2,2
17,Germany,,,,,,,38.3,3
18,New Zealand,,,,,,,37.3,3
19,Australia,,,,,,,36,2
20,Canada,,,,,,,34.6,2
21,Denmark,,,,,,,31.2,3
22,United States of America,,,,,,,29.7,3
23,Iceland,,,,,,,29.3,3
24,Luxembourg,,,,,,,28.7,3
25,Norway,,,,,,,24.9,3
